DebayerTime,fMapTime,iMapTime
1225,4772,4439
1199,5062,4506
1046,4763,4506
1236,4683,4775
1313,4745,4357
1230,5120,4438
1254,4777,4770
1301,5031,4457
1223,4766,4678
1245,5245,4450
1240,4844,4458
1242,5117,4447
1220,4706,4432
1285,5238,4480
1254,4830,4482
1242,5128,4528
1242,4731,4635
1218,5051,4439
1255,4765,4520
1242,5055,4555
1206,4798,4475
1242,5052,4547
1223,4695,4448
1082,4892,4743
1233,4834,4448
1316,4891,4335
1302,5053,4536
1240,4679,4655
1252,5162,4527
1254,4853,4453
1259,5003,4557
1226,4838,4514
1293,5170,4559
1216,4832,4487
1251,4689,4710
1294,4804,4460
1208,4651,4920
1207,5035,4521
1242,4899,4479
1241,5109,4461
1292,4765,4446
1316,5013,4637
1316,4825,4746
1244,5355,4532
1268,4835,4466
1198,5132,4674
1128,4778,4340
1317,5055,4464
1251,4886,4989
1345,5020,4459
1303,4806,5073
1387,4781,4519
1294,4978,4752
1289,4836,4449
1294,4891,5044
1370,4761,4486
1242,4759,4768
1316,5269,4469
1236,4679,4914
1256,5021,4517
1209,4688,4426
1236,5061,4460
1244,4789,4549
1308,4890,4725
1221,4812,4442
1243,4797,4750
1216,4808,4471
1248,4639,4373
1242,4800,4756
1062,4801,4434
1212,4659,4805
1454,5035,4454
1241,4760,4999
1332,4798,4437
1241,4798,4754
1306,5271,4500
1218,4693,4892
1231,5153,4440
1240,4849,4468
1242,5077,4519
1251,4839,4456
1227,5023,4522
1245,4826,4449
1261,5193,4474
1251,4804,4473
1309,5217,4542
1245,4965,4783
1244,4743,4791
1320,4867,4320
1269,4827,4512
1244,5057,4450
1255,4791,4470
1198,5008,4543
1243,5065,4485
1207,5076,4523
1202,4805,4531
1237,4662,4727
1223,4806,4508
1230,4650,4773
1431,4858,4531
1241,4666,4952
1372,4808,4447
1230,4685,4970
1288,4892,4451
1218,4736,4931
1267,5115,4513
1240,4764,4489
1211,5003,4458
1231,4679,4434
1284,4807,4519
1294,5086,4482
1285,4988,4451
1300,4996,4422
1245,5134,4507
1243,4878,4440
1242,4769,4464
1060,5035,4474
1306,4885,4684
1226,4821,5005
1244,4872,5301
1221,4894,4517
1240,5194,4449
1252,4792,4592
1250,4742,4431
1191,4726,4636
1285,4977,4515
1278,4844,4759
1251,5088,4912
1250,4735,4506
1255,4898,4446
1302,4909,4556
1222,4867,4463
1242,4864,4451
1260,4981,4496
1258,4813,4670
1235,4767,4566
1185,4837,4438
1243,4789,4813
1304,4814,4524
1258,4699,4806
1208,4771,4469
1243,4791,5014
1268,4791,4507
1257,4785,5018
1303,4804,4476
1253,4843,4426
1240,4926,4521
1209,4769,4469
1203,4669,4607
1219,4895,4506
1266,4649,4623
1260,4776,4325
1205,4894,4452
1242,4809,4479
1248,5041,4518
1242,4761,4449
1300,5187,4471
1230,4808,4502
1244,4911,4447
1290,4858,4452
1279,4999,4723
1221,4741,4437
1127,4741,4741
1228,4820,4506
1241,4699,4771
1269,4831,4461
1241,4762,4796
1440,5083,4430
1242,4681,4900
1300,5075,4526
1239,4792,4508
1237,5113,4661
1246,4783,4326
1291,4993,4430
1291,4929,4619
1199,4888,4468
1252,4731,4465
1236,4869,4531
1244,4884,4515
1242,4768,4627
1245,4757,4507
1310,4919,4569
1305,4737,4514
1228,4713,4538
1204,4847,4504
1050,4781,4451
1241,4882,4478
1331,4884,4477
1223,4722,4516
1320,5029,4598
1279,4820,4928
1239,4781,4493
1242,4667,4726
1306,4808,4316
1252,5001,4528
1233,4689,4854
1322,4720,4445
1243,4725,4770
1313,4799,4470
1299,4842,4719
1439,4852,4455
1241,4770,4955
1243,4768,4333
1252,5096,4438
1213,4773,4908
1409,4740,4464
1243,4770,4757
1304,4831,4533
1105,4720,4950
1304,4928,4452
1237,4716,4929
1235,4975,4478
1241,4814,4471
1254,4787,4331
1266,5068,4458
1242,4762,4981
1319,5148,4435
1254,4780,4938
1357,4722,4478
1242,4737,4962
1288,4987,4463
1234,4722,4919
1335,4871,4456
1241,4770,4968
1305,5006,4551
1240,4775,4664
1213,5029,4513
1224,4759,4460
1229,5038,4460
1242,4828,4411
1400,5076,4452
1205,4692,4438
1235,4703,4775
1119,4789,4436
1249,4690,4323
1230,5025,4438
1241,4764,4785
1254,5125,4460
1247,4751,4467
1181,5048,4577
1217,4675,4451
1225,4769,4764
1236,4812,4526
1270,4844,4822
1218,4798,4432
1222,4699,4918
1385,4755,4531
1242,4710,4823
1347,5232,4439
1218,4811,4672
1265,5075,4553
1209,4772,4586
1243,5066,4541
1134,4868,4484
1232,4875,4539
1247,4714,4357
1241,4928,4417
1261,4811,4638
1246,4883,4517
1213,4714,4509
1205,4832,4551
1243,4850,4523
1242,4742,4588
1266,4856,4447
1252,4664,5002
1264,4801,4450
1241,4715,4572
1209,4781,4473
1288,5009,4465
1304,5105,4490
1250,4771,4526
1241,4792,4592
1174,4940,4503
1242,4806,4718
1453,4923,4468
1254,4739,4961
1224,4763,4360
1302,5120,4518
1219,4719,4651
1260,5126,4448
1256,4793,4467
1266,5096,4495
1243,4878,4536
1242,4862,4725
1229,4765,4472
1241,4781,4756
1323,4797,4535
1244,4873,5014
1361,4732,4457
1287,4914,4774
1231,4768,4447
1215,4703,4722
1197,4700,4491
1284,4869,4693
1244,4789,4478
1248,4694,4677
1294,4682,4448
1324,4809,4567
1096,4837,4552
1242,4767,4435
1220,4863,4571
1258,4811,4455
1252,4811,4539
1206,4778,4467
1242,4778,4548
1214,4875,4620
1249,4894,4702
1244,4674,4617
1223,4691,4765
1310,4850,4622
1204,4734,5059
1260,5480,4652
1255,4781,5163
1259,4914,4627
1251,4692,4755
1248,5054,4627
1229,4715,4624
1222,4992,4677
1238,4773,4333
1297,4972,4593
1284,4753,4732
1062,4981,4639
1235,4758,4447
1241,4913,4449
1242,4796,4512
1242,4939,4488
1315,4874,4520
1254,4735,4739
1463,4859,4472
1238,4713,4913
1227,5028,4729
1244,4729,4613
1260,5165,4430
1253,4787,4439
1240,5156,4467
1289,4965,4543
1256,5018,4455
1268,4699,4482
1311,5048,4664
1303,4922,4509
1290,5095,4493
1241,4785,4653
1226,5059,4516
1054,4717,4440
1238,4840,4544
1212,4720,4503
1241,4779,4544
1192,5161,4945
1254,4702,4710
1302,5715,4618
1252,4718,5070
1230,4898,4662
1255,4746,4715
1289,4945,4612
1242,4768,4627
1217,4974,4922
1249,4799,4594
1297,5152,4573
1244,4859,4653
1247,4934,4686
1225,4762,4442
1227,5059,4559
1303,4736,4745
1244,5049,4462
1232,4782,4551
1218,5047,4450
1087,4761,4472
1185,5004,4506
1215,4781,4524
